,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Share,Seed,WL,SS,MPG
0,Chucky Atkins,PG,25,ORL,82,0,1626,7.0,16.4,0.424,1.3,3.6,0.35,5.7,12.8,0.445,2.1,2.9,0.729,0.4,2.3,2.8,6.8,1.2,0.1,3.1,3.0,17.3,2000,14.4,0.489,24.3,1.1,1.3,2.4,0.072,0.6,-1.4,-0.8,0.5,,9.0,0.5,56,19.829268292682926
1,William Avery,PG,20,MIN,59,1,484,4.2,13.5,0.309,1.3,4.7,0.286,2.8,8.8,0.322,1.8,2.7,0.667,0.6,2.4,3.0,6.5,1.0,0.1,3.1,4.5,11.5,2000,6.7,0.391,22.3,-0.8,0.3,-0.5,-0.046,-4.3,-2.0,-6.3,-0.5,,6.0,0.61,223,8.203389830508474
2,Cal Bowdler,SF,22,ATL,46,0,423,4.2,9.8,0.426,0.0,0.1,0.0,4.2,9.7,0.43,2.0,3.2,0.632,1.9,5.4,7.2,1.2,1.2,0.8,1.8,3.9,10.4,2000,10.0,0.463,16.0,-0.1,0.3,0.2,0.027,-3.4,-0.3,-3.7,-0.2,,14.0,0.341,251,9.195652173913043
3,Ryan Bowen,SF,24,DEN,52,0,589,2.8,7.2,0.393,0.1,0.6,0.111,2.8,6.6,0.417,2.3,3.2,0.717,4.6,2.4,7.0,1.2,2.4,0.8,0.9,5.8,8.0,2000,11.8,0.467,11.4,0.8,0.6,1.4,0.111,-1.7,1.5,-0.2,0.3,,10.0,0.427,290,11.326923076923077
4,Elton Brand,PF,20,CHI,81,80,2999,7.6,15.7,0.482,0.0,0.0,0.0,7.6,15.7,0.483,4.4,6.4,0.685,4.2,5.5,9.7,1.9,0.8,1.6,2.7,3.1,19.5,2000,20.6,0.528,27.0,4.2,3.3,7.5,0.121,2.2,-0.9,1.3,2.5,0.479,15.0,0.207,27,37.02469135802469
5,Greg Buckner,SG,23,DAL,48,1,923,4.3,9.1,0.476,0.4,1.0,0.385,3.9,8.1,0.488,1.7,2.5,0.683,2.2,4.6,6.8,2.1,1.5,0.8,1.4,5.8,10.7,2000,12.1,0.527,14.2,1.0,0.8,1.8,0.094,-2.2,0.7,-1.5,0.1,,9.0,0.488,246,19.229166666666668
6,Anthony Carter,PG,24,MIA,79,30,1859,3.9,9.9,0.395,0.1,0.4,0.13,3.8,9.4,0.407,1.8,2.4,0.75,0.9,2.9,3.9,7.3,1.8,0.1,3.4,3.2,9.6,2000,11.0,0.442,18.5,-1.0,2.4,1.4,0.036,-3.0,0.2,-2.7,-0.4,,2.0,0.634,266,23.531645569620252
7,Vonteego Cummings,PG,23,GSW,75,11,1793,5.3,13.2,0.405,1.0,3.0,0.325,4.3,10.1,0.429,2.5,3.4,0.751,1.1,2.5,3.7,5.0,1.8,0.3,2.7,3.5,14.2,2000,12.9,0.484,20.2,0.7,0.7,1.3,0.036,-1.2,-0.5,-1.7,0.2,,13.0,0.232,134,23.906666666666666
8,Baron Davis,PG,20,CHH,82,0,1523,4.3,10.2,0.42,0.6,2.6,0.225,3.7,7.6,0.488,2.3,3.6,0.634,1.1,2.8,3.9,7.3,2.3,0.4,3.3,4.8,11.5,2000,12.9,0.486,18.9,-0.1,2.2,2.1,0.065,-2.0,1.2,-0.8,0.5,,5.0,0.598,225,18.573170731707318
9,Steve Francis,PG,22,HOU,77,77,2776,6.4,14.5,0.445,1.4,4.0,0.345,5.1,10.5,0.483,3.7,4.7,0.786,2.0,3.3,5.3,6.6,1.5,0.4,4.0,3.0,18.0,2000,18.4,0.543,25.0,4.4,2.0,6.4,0.111,2.7,-0.6,2.0,2.8,0.479,11.0,0.415,42,36.05194805194805
10,Devean George,SF,22,LAL,49,1,345,5.8,15.0,0.389,1.7,4.9,0.34,4.2,10.1,0.412,2.8,4.3,0.659,3.0,4.8,7.8,1.3,1.0,0.4,2.2,5.6,16.2,2000,12.1,0.478,23.3,0.1,0.6,0.7,0.093,-2.5,-1.0,-3.5,-0.1,,1.0,0.817,83,7.040816326530612
11,Adrian Griffin,SG,25,BOS,72,47,1927,3.3,7.7,0.424,0.3,1.1,0.281,3.0,6.7,0.447,2.2,3.0,0.753,2.4,4.6,6.9,3.3,2.2,0.3,1.7,4.1,9.1,2000,12.6,0.503,13.0,1.8,2.1,3.9,0.098,-0.9,1.4,0.6,1.3,,10.0,0.427,273,26.76388888888889
12,Richard Hamilton,SG,21,WAS,71,12,1373,6.7,15.9,0.42,0.7,2.0,0.364,5.9,13.8,0.428,2.7,3.5,0.774,1.0,2.4,3.4,2.8,0.7,0.2,2.2,3.7,16.8,2000,11.6,0.482,24.2,0.4,0.3,0.7,0.024,-1.4,-2.2,-3.7,-0.6,,13.0,0.354,64,19.338028169014084
13,Chris Herren,PG,24,DEN,45,1,597,2.7,7.5,0.363,1.4,4.0,0.358,1.3,3.4,0.368,1.6,2.4,0.675,0.7,2.4,3.1,6.7,0.9,0.1,2.5,4.5,8.5,2000,8.9,0.498,13.4,0.3,0.2,0.5,0.041,-2.4,-1.6,-4.0,-0.3,,10.0,0.427,281,13.266666666666667
14,Quincy Lewis,SG,22,UTA,74,0,896,4.5,12.0,0.372,0.9,2.5,0.365,3.5,9.4,0.374,1.5,2.1,0.731,1.8,2.7,4.5,1.6,1.0,0.6,1.8,6.3,11.4,2000,6.6,0.441,18.9,-0.5,0.9,0.3,0.018,-4.5,-0.9,-5.5,-0.8,,2.0,0.671,227,12.108108108108109
15,Todd MacCulloch,C,24,PHI,56,6,528,6.1,11.0,0.553,0.0,0.0,,6.1,11.0,0.553,1.9,3.7,0.519,3.3,6.7,10.0,0.9,0.7,2.5,1.8,6.4,14.0,2000,16.1,0.557,17.5,0.7,1.0,1.7,0.15,-1.6,1.6,0.0,0.3,,4.0,0.598,140,9.428571428571429
