,Per,Per,Per,Per,Per,Per,Per,Per,Per,Per,Per,Per,Per,Per,Shoo,Shoo,Shoo,-additional
Player,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,-9999
Precious Achiuwa,5.8,12.4,1.1,2.9,1.9,3.2,3.1,9.9,1.8,0.8,0.9,1.8,3.3,14.5,.467,.367,.595,achiupr01
Steven Adams,4.2,7.5,0.1,0.3,1.9,3.5,5.5,12.7,3.9,1.2,1.0,2.0,2.7,10.4,.559,.321,.536,adamsst01
Bam Adebayo,7.7,13.7,0.1,0.4,4.8,6.2,2.6,10.6,4.6,1.4,1.0,2.8,2.9,20.3,.563,.279,.765,adebaba01
Santi Aldama,5.7,13.1,1.0,4.9,2.2,3.2,2.8,8.2,2.7,0.8,0.9,1.7,3.3,14.6,.432,.210,.683,aldamsa01
LaMarcus Aldridge,8.0,15.6,0.9,2.7,2.8,3.3,2.0,7.9,2.0,0.6,1.5,1.6,2.7,19.7,.511,.346,.850,aldrila01
Nickeil Alexander-Walker,6.4,16.3,2.6,7.9,2.0,2.6,0.9,5.0,3.9,1.3,0.6,2.3,2.7,17.5,.396,.330,.747,alexani01
Grayson Allen,5.2,11.6,3.1,7.6,1.6,1.9,0.7,4.6,2.4,1.0,0.3,1.1,2.0,15.0,.445,.404,.857,allengr01
Jarrett Allen,6.8,10.4,0.1,0.5,3.5,4.9,3.8,12.1,2.1,0.8,1.6,1.8,2.0,17.2,.652,.290,.708,allenja01
Jose Alvarado,5.8,12.7,1.5,4.8,1.7,2.5,1.2,4.8,6.2,2.8,0.4,1.8,3.1,14.9,.456,.309,.707,alvarjo01
Justin Anderson,4.7,11.7,1.8,6.3,1.9,2.5,0.8,5.8,3.7,1.0,0.7,1.3,2.7,13.1,.404,.278,.777,anderju01
Kyle Anderson,5.3,11.7,1.2,3.6,2.0,2.9,1.4,8.2,4.5,1.7,1.1,1.7,2.6,13.9,.455,.343,.707,anderky01
Giannis Antetokounmpo,11.1,20.1,1.2,4.1,8.1,11.5,2.1,12.5,6.3,1.2,1.4,3.6,3.3,31.6,.555,.301,.706,antetgi01
Thanasis Antetokounmpo,5.2,10.2,0.5,2.1,2.1,3.4,2.9,7.6,2.5,1.3,0.8,2.3,4.7,13.0,.509,.258,.613,antetth01
Carmelo Anthony,6.4,15.1,2.7,7.2,2.7,3.2,1.1,5.5,1.7,0.9,0.9,1.4,3.3,18.2,.425,.375,.841,anthoca01
Cole Anthony,6.4,15.6,2.2,6.3,3.6,4.3,0.7,6.3,6.2,0.9,0.4,2.9,2.9,18.6,.408,.349,.852,anthoco01
OG Anunoby,6.3,13.5,2.3,6.2,1.9,2.5,1.5,5.8,2.6,1.5,0.6,1.7,2.8,16.8,.464,.379,.764,anunoog01
Ryan Arcidiacono,4.3,9.7,2.0,5.2,1.3,1.8,0.7,5.2,3.8,0.9,0.2,1.4,3.4,11.8,.439,.382,.723,arcidry01
Trevor Ariza,3.7,9.3,1.8,5.7,1.3,1.9,1.0,6.1,2.4,1.2,0.6,1.1,2.3,10.5,.393,.318,.720,arizatr01
D.J. Augustin,4.2,10.4,2.5,6.4,2.3,2.6,0.6,3.2,5.0,0.8,0.1,2.2,1.8,13.2,.408,.386,.877,augusdj01
Deni Avdija,4.6,10.3,1.6,4.7,1.7,2.3,0.9,7.8,2.9,1.1,0.7,1.4,3.5,12.4,.443,.330,.753,avdijde01
Joel Ayayi,5.7,12.8,1.7,4.8,2.3,2.9,1.6,6.7,4.2,1.0,0.6,1.8,2.6,15.5,.447,.350,.783,ayayijo01
Deandre Ayton,8.6,13.8,0.2,0.6,2.3,3.0,3.4,12.3,1.9,0.8,1.1,1.9,3.1,19.6,.624,.337,.762,aytonde01
Udoka Azubuike,6.3,10.6,0.8,2.2,2.0,2.9,2.5,10.2,1.6,0.6,1.5,2.1,3.9,15.5,.596,.364,.706,azubuud01
Marvin Bagley III,7.4,14.6,1.0,3.3,2.3,3.5,3.2,10.4,1.5,0.7,0.6,1.5,3.0,18.2,.510,.292,.653,baglema01
LaMelo Ball,7.9,17.8,3.1,7.7,3.2,3.8,1.6,7.6,8.3,1.8,0.5,3.4,3.4,22.1,.446,.395,.848,ballla01
Lonzo Ball,5.4,12.6,3.2,8.0,0.9,1.2,1.0,5.9,6.0,1.8,0.8,2.5,2.4,14.9,.426,.403,.745,balllo01
